Company Name,Funding Stage,Amount,Year Funded,Investor,Industry,Location
DGV,Pre-Series A,12250186,2021,Info Edge Ventures,Professional Services,Bangalore
GuardianLink,Series A,5032439,2021,Kalaari Capital,Professional Services,Chennai
Clinikk,Pre-Series A,7462445,2021,MassMutual Ventures,Healthcare and Wellness,Bangalore
Toplyne,Undisclosed,2000000,2021,Sequoia Capital ,Technology,Bangalore
Mensa,Series B,2500000,2021,Alpha Wave Ventures,E-Commerce and Retail,Bangalore
GENLEAP,Seed Round,955981,2021,Vivek Vaidya,Education,Haryana
Planys,Pre-Series A,6671339,2021,Kieretsu Forum,Technology,Chennai
Wonderchef,Undisclosed,2000000,2021,Sixth Sense Ventures,E-Commerce and Retail,Mumbai
GoKwik,Series A,5032439,2021,Sequoia Capital India,Professional Services,New Delhi
Velocity,Series A,5032439,2021,Valar Ventures,Professional Services,Bangalore
SalaryBox,Seed Round,955981,2021,Y-Combinator,Professional Services,Gurugram
Boingg,Seed Round,955981,2021,Inflection Point Ventures,Technology,Gurugram
Tickertape,Undisclosed,2000000,2021,Smallcase,Professional Services,Bangalore
Zenpay Solutions,Undisclosed,2000000,2021,The StarupLab,Professional Services,New Delhi
Disprz,Series B,2500000,2021,Dallas Venture Capital,Education,Mumbai
Inzpira,Seed Round,955981,2021,Raj Nair,Education,Trivandrum
Defy,Undisclosed,2000000,2021,Y Combinator,Professional Services,Bangalore
Mindhouse,Seed Round,955981,2021,Binny Bansal,Healthcare and Wellness,Gurugram
Homversity,Undisclosed,2000000,2021,Unknown,E-Commerce and Retail,Ahmedabad
Toppersnotes,Seed Round,955981,2021,Inflection Point Ventures,Education,Jaipur
NoBroker.com,Series E,18000000,2021,General Atlantic,Real Estate and Construction,Bangalore
Haber,Series B,2500000,2021,Ascent Capital,Industrial and Manufacturing,Pune
True Balance,Undisclosed,2000000,2021,Northern Arc,Professional Services,Gurugram
Recordent,Undisclosed,2000000,2021,Family Office of Kantamaneni,Professional Services,Hyderabad
Koparo,Seed Round,955981,2021,Saama Capital﻿,E-Commerce and Retail,New Delhi
Indifi,Undisclosed,2000000,2021,Omidyar Network,Professional Services,Gurugram
Settl,Seed Round,955981,2021,ah! Ventures,Real Estate and Construction,Bangalore
Park+,Series B,2500000,2021,Sequoia Capital,Technology,New Delhi
Simple Energy,Pre-Series A,14747749,2021,Unknown,Transportation and Mobility,Bangalore
Dream Sports,Undisclosed,2000000,2021,Falcon Edge,Media and Entertainment,Mumbai
Spinny,Series E,18000000,2021,Abu Dhabi Growth Fund,Transportation and Mobility,Gurugram
Rentomojo,Undisclosed,2000000,2021,Accel,Real Estate and Construction,Bangalore
Slice,Series B,2500000,2021,Tiger Global,Professional Services,Bangalore
21K School,Pre-Series A,8556808,2021,Ronnie Screwvala,Education,Bangalore
Adda247,Series B,2500000,2021,WestBridge Capital,Education,Gurugram
