Company Name,Funding Stage,Amount,Year Funded,Investor,Industry,Location
TheCollegeFever,Seed Round,250000,2018,Unknown,Marketing and Advertising,Bangalore
Happy Cow Dairy,Seed Round,955981,2018,Unknown,Agriculture and Food,Mumbai
MyLoanCare,Series A,5032439,2018,Unknown,Finance and FinTech,Gurgaon
PayMe India,Angel,2000000,2018,Unknown,Professional Services,Noida
Eunimart,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Hyderabad
Hasura,Seed Round,1600000,2018,Unknown,Technology,Bengaluru
Tripshelf,Seed Round,955981,2018,Unknown,Technology,Kalkaji
Hyperdata.IO,Angel,885000,2018,Unknown,Professional Services,Hyderabad
Freightwalla,Seed Round,955981,2018,Unknown,Professional Services,Mumbai
Microchip Payments,Seed Round,955981,2018,Unknown,Technology,Bangalore
BizCrum Infotech Pvt. Ltd.,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Delhi
Emojifi,Seed Round,955981,2018,Unknown,Technology,Bengaluru
Freshboxx,Seed Round,955981,2018,Unknown,Agriculture and Food,Hubli
Wide Mobility Mechatronics,Seed Round,955981,2018,Unknown,Industrial and Manufacturing,Bangalore
Pitstop,Seed Round,955981,2018,Unknown,Transportation and Mobility,Bengaluru
Mihuru,Seed Round,150000,2018,Unknown,Finance and FinTech,Mumbai
Fyle,Seed Round,1100000,2018,Unknown,Finance and FinTech,Bengaluru
AppWharf,Seed Round,955981,2018,Unknown,Technology,New Delhi
Antariksh Waste Ventures Pvt ltd,Seed Round,955981,2018,Unknown,Technology,Chennai
Cogoport,Series A,6000000,2018,Unknown,Transportation and Mobility,Mumbai
PaisaDukan,Seed Round,650000,2018,Unknown,Professional Services,Mumbai
Sleepy Owl Coffee,Seed Round,955981,2018,Unknown,Agriculture and Food,New Delhi
BlueJack,Seed Round,955981,2018,Unknown,Transportation and Mobility,Delhi
PregBuddy,Seed Round,955981,2018,Unknown,Technology,Bengaluru
AgNext Technologies,Series A,5032439,2018,Unknown,Agriculture and Food,Mohali
Pando,Seed Round,2000000,2018,Unknown,Transportation and Mobility,Chennai
Mintifi,Seed Round,2000000,2018,Unknown,Professional Services,Mumbai
Carcrew,Seed Round,2000000,2018,Unknown,Transportation and Mobility,Mumbai
NicheAI,Angel,885000,2018,Unknown,Technology,Hyderabad
Chariot Tech,Seed Round,955981,2018,Unknown,Technology,New Delhi
121Policy.com,Seed Round,1000000,2018,Unknown,Finance and FinTech,Kolkata
Loanzen,Seed Round,955981,2018,Unknown,Professional Services,Bangalore
Mojro Technologies,Seed Round,650000,2018,Unknown,Technology,Bengaluru
Elemential,Seed Round,1000000,2018,Unknown,Finance and FinTech,Mumbai
Loadshare,Series A,5000000,2018,Unknown,Industrial and Manufacturing,Bengaluru
Yumlane,Series A,4000000,2018,Unknown,Agriculture and Food,Mumbai
Kriger Campus,Seed Round,955981,2018,Unknown,Education,New Delhi
Pipa+Bella,Series A,1000000,2018,Unknown,E-Commerce and Retail,Mumbai
Kaleidofin,Seed Round,2800000,2018,Unknown,Professional Services,Chennai
Chakr Innovation,Seed Round,955981,2018,Unknown,Energy and Environment,New Delhi
IndigoLearn,Seed Round,150000,2018,Unknown,Education,Hyderabad
Coutloot,Seed Round,1000000,2018,Unknown,E-Commerce and Retail,Mumbai
Letstrack,Seed Round,1700000,2018,Unknown,Technology,New Delhi
Pooltoo,Seed Round,955981,2018,Unknown,Transportation and Mobility,New Delhi
Finzy,Seed Round,1300000,2018,Unknown,Professional Services,Bangalore
Fitternity,Seed Round,2000000,2018,Unknown,Healthcare and Wellness,Mumbai
Keito,Seed Round,955981,2018,Unknown,Technology,Pune
Tolet for Students,Seed Round,955981,2018,Unknown,Technology,Jodhpur
Chai Kings,Seed Round,955981,2018,Unknown,Agriculture and Food,Chennai
Dainik Jagran,Seed Round,955981,2018,Unknown,Media and Entertainment,Kanpur
Playtoome,Seed Round,955981,2018,Unknown,Media and Entertainment,Bengaluru
ONGO Framework,Angel,1000000,2018,Unknown,E-Commerce and Retail,Hyderabad
Notesgen,Seed Round,955981,2018,Unknown,Education,New Delhi
Arogya MedTech,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Kolkata
Propshop24,Seed Round,500000,2018,Unknown,E-Commerce and Retail,Mumbai
myUpchar,Series A,5000000,2018,Unknown,Healthcare and Wellness,New Delhi
MissMalini Entertainment,Seed Round,955981,2018,Unknown,Marketing and Advertising,Mumbai
ZestMoney,Series A,13400000,2018,Unknown,Technology,Bangalore
alphaics Corporation,Seed Round,955981,2018,Unknown,Technology,Bengaluru
MyDentistChoice,Seed Round,500000,2018,Unknown,Healthcare and Wellness,Hyderabad
Sattviko,Angel,885000,2018,Unknown,Agriculture and Food,New Delhi
Sensibull,Seed Round,955981,2018,Unknown,Technology,Bangalore
Bombay Shaving Company,Series A,5032439,2018,Unknown,E-Commerce and Retail,New Delhi
MedCords,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Pune
University Living,Seed Round,955981,2018,Unknown,Education,New Delhi
&ME,Seed Round,955981,2018,Unknown,Agriculture and Food,Bangalore
Enakshi,Seed Round,955981,2018,Unknown,Consumer Goods,Ahmedabad
Ultraviolette Automotive,Series A,5032439,2018,Unknown,Transportation and Mobility,Bangalore
Inthree Access,Series A,4000000,2018,Unknown,Professional Services,Chennai
BUGWORKS Research India,Series A,9000000,2018,Unknown,Healthcare and Wellness,Bangalore
Guardian.in,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Mumbai
PrestLoans,Seed Round,100000,2018,Unknown,Finance and FinTech,New Delhi
Wimoxez,Seed Round,20000,2018,Unknown,Technology,Hyderabad
India Accelerator,Angel,885000,2018,Unknown,Technology,Gurgaon
HappyEMI,Seed Round,1000000,2018,Unknown,E-Commerce and Retail,Bangalore
Wishup,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Azadpur
Hansel.io,Series A,4000000,2018,Unknown,Technology,Bangalore
Propelld,Seed Round,250000,2018,Unknown,Education,Bengaluru
PivotRoots,Series A,5032439,2018,Unknown,Marketing and Advertising,Mumbai
ZiffyHomes,Seed Round,120000,2018,Unknown,E-Commerce and Retail,New Delhi
Carmesi,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Gurgaon
OckyPocky,Angel,885000,2018,Unknown,Education,Haryana
Racetrack,Seed Round,955981,2018,Unknown,Technology,Bangalore
WHR,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Pune
Asteria Aerospace,Seed Round,955981,2018,Unknown,Transportation and Mobility,Bangalore
FabAlley,Series B,2500000,2018,Unknown,E-Commerce and Retail,Noida
Tranzmeo,Pre-Seed,6671339,2018,Unknown,Technology,Cochin
SBI Life,Private Equity,193500000,2018,Unknown,Finance and FinTech,Mumbai
Studds Accessories,Private Equity,193500000,2018,Unknown,E-Commerce and Retail,Faridabad
Design Cafe,Series B,2500000,2018,Unknown,Real Estate and Construction,Bengaluru
NoPaperForms Solutions Pvt. Ltd.,Series B,2500000,2018,Unknown,Education,New Delhi
Rays Power Infra,Venture - Series Unknown,17932500,2018,Unknown,Energy and Environment,Jaipur
AuthMetrik,Grant,11262932,2018,Unknown,E-Commerce and Retail,Gurgaon
Khidki,Seed Round,955981,2018,Unknown,Technology,Bangalore
LetsTransport,Series B,2500000,2018,Unknown,Transportation and Mobility,Bangalore
Next Digital Solutions,Angel,885000,2018,Unknown,Marketing and Advertising,Kota
Portea Medical,Debt Financing,2500000,2018,Unknown,Healthcare and Wellness,Bangalore
Aavas Financiers,Debt Financing,2500000,2018,Unknown,Finance and FinTech,Jaipur
Swiggy,Series H,10325380,2018,Unknown,Agriculture and Food,Bangalore
Milkbasket,Series A,5032439,2018,Unknown,E-Commerce and Retail,Haryana
Nutrisattva (Proliva),Angel,885000,2018,Unknown,Healthcare and Wellness,Anand
Toppr,Series C,79903750,2018,Unknown,Education,Mumbai
Jagaran Microfin,Debt Financing,2500000,2018,Unknown,Finance and FinTech,Kolkata
Vivriti Capital,Venture - Series Unknown,17932500,2018,Unknown,Professional Services,Chennai
Be U Salons,Seed Round,955981,2018,Unknown,Technology,New Delhi
Impact Guru,Series A,5032439,2018,Unknown,Marketing and Advertising,Mumbai
MobiKwik,Series E,18000000,2018,Unknown,Finance and FinTech,Gurgaon
Stones2Milestones,Seed Round,955981,2018,Unknown,Education,Gurgaon
Generico,Series A,5032439,2018,Unknown,Healthcare and Wellness,Mumbai
Adiuvo Diagnostics,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Chennai
DataTrained,Seed Round,955981,2018,Unknown,Education,Bangalore
OneAssist,Debt Financing,2500000,2018,Unknown,Professional Services,Mumbai
Satin Creditcare Network Limited (SCNL),Debt Financing,2500000,2018,Unknown,Finance and FinTech,New Delhi
APAC Financial Services,Private Equity,193500000,2018,Unknown,Finance and FinTech,Mumbai
Moglix,Series C,79903750,2018,Unknown,E-Commerce and Retail,Noida
SEDEMAC Mechatronics,Venture - Series Unknown,17932500,2018,Unknown,Transportation and Mobility,Mumbai
MadGuy Labs,Venture - Series Unknown,17932500,2018,Unknown,Education,Hyderabad
Dee Dee Labs,Seed Round,955981,2018,Unknown,Technology,Pune
FLEECA,Seed Round,955981,2018,Unknown,Transportation and Mobility,Jaipur
Shop101,Series B,2500000,2018,Unknown,Technology,Mumbai
FeedMyPockets,Seed Round,955981,2018,Unknown,Marketing and Advertising,Bengaluru
Housejoy,Series B,2500000,2018,Unknown,Healthcare and Wellness,Bengaluru
Ambee,Angel,885000,2018,Unknown,Healthcare and Wellness,Bangalore
FoodBuddy,Seed Round,955981,2018,Unknown,Agriculture and Food,Belgaum
Ninjacart,Series B,2500000,2018,Unknown,Agriculture and Food,Bengaluru
Olly Smart Credit Card,Seed Round,955981,2018,Unknown,Finance and FinTech,New Delhi
Zestl,Seed Round,955981,2018,Unknown,Technology,Pune
BYJU’S,Private Equity,193500000,2018,Unknown,Education,Bangalore
Wakefit,Venture - Series Unknown,17932500,2018,Unknown,Industrial and Manufacturing,Bangalore
Hero Electric,Venture - Series Unknown,17932500,2018,Unknown,Industrial and Manufacturing,New Delhi
Pentation Analytics,Seed Round,955981,2018,Unknown,Professional Services,Mumbai
PerkFinance,Seed Round,955981,2018,Unknown,Finance and FinTech,Bangalore
Roposo,Series C,79903750,2018,Unknown,Technology,Gurgaon
Plum Goodness,Series A,5032439,2018,Unknown,Healthcare and Wellness,Thane
Drstore,Seed Round,955981,2018,Unknown,Technology,Mumbai
Wow Venue,Venture - Series Unknown,17932500,2018,Unknown,Transportation and Mobility,Mumbai
Chizel,Seed Round,955981,2018,Unknown,Media and Entertainment,Pune
OTO Capital,Seed Round,955981,2018,Unknown,Transportation and Mobility,Mumbai
Boodmo,Seed Round,955981,2018,Unknown,Transportation and Mobility,Gurgaon
Khabri,Seed Round,955981,2018,Unknown,Technology,Haryana
MyNewCar.in,Venture - Series Unknown,17932500,2018,Unknown,Transportation and Mobility,Gurgaon
HalaPlay Technologies,Series A,5032439,2018,Unknown,Media and Entertainment,Bangalore
PlanetSpark,Seed Round,955981,2018,Unknown,Education,Gurgaon
WheelsEMI,Series B,2500000,2018,Unknown,Transportation and Mobility,Pune
Forum for Innovation Incubation Research and Entrepreneurship,Grant,11640232,2018,Unknown,Finance and FinTech,Margão
OYO,Series E,18000000,2018,Unknown,Technology,Gurgaon
Quikr,Debt Financing,2500000,2018,Unknown,Media and Entertainment,Bangalore
Tabono,Seed Round,955981,2018,Unknown,Media and Entertainment,Gurgaon
LearnApp,Seed Round,955981,2018,Unknown,Finance and FinTech,Noida
Shopkirana,Venture - Series Unknown,17932500,2018,Unknown,E-Commerce and Retail,Indore
Fric Bergen,Venture - Series Unknown,17932500,2018,Unknown,Agriculture and Food,Alwar
Articbot,Grant,6671339,2018,Unknown,Technology,Kannur
BuildSupply,Series A,5032439,2018,Unknown,Technology,Gurgaon
Fusion Microfinance,Series E,18000000,2018,Unknown,Finance and FinTech,New Delhi
Any time Doctor,Angel,885000,2018,Unknown,Technology,Chennai
Go Payments,Corporate Round,23000000,2018,Unknown,Professional Services,Mumbai
Guiddoo World,Seed Round,955981,2018,Unknown,Media and Entertainment,Mumbai
ION Energy,Venture - Series Unknown,17932500,2018,Unknown,Energy and Environment,Mumbai
UnoTag,Pre-Seed,6671339,2018,Unknown,Technology,Bangalore
CivilCops,Pre-Seed,12250186,2018,Unknown,Professional Services,Gurgaon
Rockmetric,Grant,6671339,2018,Unknown,Technology,Mumbai
Classworks India,Undisclosed,2000000,2018,Unknown,Education,Chennai
Snapmint,Seed Round,955981,2018,Unknown,Finance and FinTech,Mumbai
artbandhu,Pre-Seed,4428638,2018,Unknown,Media and Entertainment,Bangalore
Survaider,Seed Round,500000,2018,Unknown,Professional Services,Bengaluru
Credy,Seed Round,1400000,2018,Unknown,Finance and FinTech,Bengaluru
iChamp,Seed Round,5000000,2018,Unknown,Education,Gurgaon
Qandle,Seed Round,1200000,2018,Unknown,Technology,Gurgaon
Avishkaar Box,Seed Round,955981,2018,Unknown,Education,Delhi
Gegadyne Energy,Angel,885000,2018,Unknown,Transportation and Mobility,Mumbai
HyperXchange,Series A,1000000,2018,Unknown,E-Commerce and Retail,Pune
Deftouch,Seed Round,955981,2018,Unknown,Media and Entertainment,Bangalore
Doodhwala,Seed Round,2200000,2018,Unknown,Agriculture and Food,Bengaluru
DronaHQ,Angel,500000,2018,Unknown,Technology,Mumbai
FastFox,Series A,5032439,2018,Unknown,Real Estate and Construction,Gurgaon
BuyForexOnline,Undisclosed,2000000,2018,Unknown,Professional Services,Bangalore
Colive.in,Seed Round,1800000,2018,Unknown,E-Commerce and Retail,Bangalore
Agricxlab Private Limited,Seed Round,500000,2018,Unknown,E-Commerce and Retail,Thane
Corefactors,Seed Round,955981,2018,Unknown,Professional Services,Bangalore
Fincash.com,Seed Round,150000,2018,Unknown,Finance and FinTech,Mumbai
Pandorum Technologies,Series A,3600000,2018,Unknown,Healthcare and Wellness,Bengaluru
Shirsa Labs,Seed Round,500000,2018,Unknown,Education,Mumbai
PetSutra,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Gurgaon
Awaaz De,Angel,885000,2018,Unknown,Technology,Ahmedabad
PinkBlue,Seed Round,300000,2018,Unknown,Healthcare and Wellness,Bangalore
Eduvanz,Angel,500000,2018,Unknown,Finance and FinTech,Mumbai
Rupeek,Series A,6830000,2018,Unknown,Professional Services,Bangalore
Backpacker Panda Holidays Private Limited,Series A,1400000,2018,Unknown,Professional Services,Pune
Shape (School Health and Physical Education),Seed Round,200000,2018,Unknown,Education,Pune
Placio,Seed Round,2000000,2018,Unknown,Technology,Noida
Aviom India Housing Finance,Series A,5032439,2018,Unknown,Finance and FinTech,New Delhi
GenRobotic,Seed Round,955981,2018,Unknown,Professional Services,Trivandrum
HeyHolidays,Seed Round,1000000,2018,Unknown,Professional Services,Bangalore
Pratilipi,Series A,4300000,2018,Unknown,Media and Entertainment,Bengaluru
SectorQube,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Ernakulam
Food Memories,Seed Round,955981,2018,Unknown,Agriculture and Food,Ahmedabad
Silversparro Technologies Pvt. Ltd,Seed Round,300000,2018,Unknown,Professional Services,Gurgaon
Creator’s Gurukul,Angel,885000,2018,Unknown,Professional Services,Gurgaon
Emflux Motors,Seed Round,364846,2018,Unknown,Transportation and Mobility,Bengaluru
Tricog Health Services Pvt Ltd,Series A,4000000,2018,Unknown,Healthcare and Wellness,Bangalore
Scapic,Seed Round,500000,2018,Unknown,Technology,Bangalore
6Degree,Seed Round,400000,2018,Unknown,Consumer Goods,Mumbai
Chrysalis (EZ Vidya),Seed Round,955981,2018,Unknown,Education,Chennai
Ekincare,Series A,1500000,2018,Unknown,Healthcare and Wellness,Hyderabad
Streo,Seed Round,955981,2018,Unknown,Media and Entertainment,Gurgaon
Groww,Seed Round,120000,2018,Unknown,Finance and FinTech,Kormangala
Cell Propulsion,Seed Round,955981,2018,Unknown,Transportation and Mobility,Bangalore
Chezuba,Angel,885000,2018,Unknown,Technology,Hyderabad
Ontrack Technologies Pvt. Ltd,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Bangalore
Wealthtrust,Seed Round,500000,2018,Unknown,Finance and FinTech,Mumbai
Faclon Labs,Seed Round,955981,2018,Unknown,Technology,Mumbai
Awign Enterprises,Seed Round,955981,2018,Unknown,Transportation and Mobility,Bangalore
CollPoll,Seed Round,955981,2018,Unknown,Education,Bangalore
Zyla Health,Seed Round,955981,2018,Unknown,Healthcare and Wellness,New Delhi
Hubhopper,Series A,500000,2018,Unknown,Technology,Delhi
Rubix108 Technologies,Seed Round,1000000,2018,Unknown,Technology,Pune
Workflexi,Seed Round,955981,2018,Unknown,Professional Services,Bangalore
Streak,Seed Round,955981,2018,Unknown,Professional Services,Bangalore
Kuants,Seed Round,955981,2018,Unknown,Professional Services,Gurgaon
NiYO Solutions,Series A,13200000,2018,Unknown,Finance and FinTech,Bangalore
Hippo Video,Seed Round,955981,2018,Unknown,Professional Services,Chennai
Satvacart,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Gurgaon
Daaki,Angel,885000,2018,Unknown,Healthcare and Wellness,Bangalore
Simulanis,Seed Round,500000,2018,Unknown,Education,New Delhi
MY CHIRAAG CAB,Seed Round,1000000,2018,Unknown,Professional Services,Jaipur
WOTU,Seed Round,955981,2018,Unknown,Agriculture and Food,Bangalore
Flathalt,Angel,50000,2018,Unknown,Real Estate and Construction,Gurgaon
True Elements,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Pune
Trendlyne Technologies,Seed Round,200000,2018,Unknown,Professional Services,Bangalore
Planys Technologies,Series A,5032439,2018,Unknown,Industrial and Manufacturing,Chennai
HealthPlix,Series A,3000000,2018,Unknown,Healthcare and Wellness,Bangalore
dishq,Seed Round,400000,2018,Unknown,Agriculture and Food,Bengaluru
Entropik Technology,Seed Round,1100000,2018,Unknown,Technology,Bengaluru
myHQ,Series A,500000,2018,Unknown,Professional Services,Delhi
Trell,Seed Round,1250000,2018,Unknown,Professional Services,Bengaluru
Kidovators (by GyanLab),Seed Round,180000,2018,Unknown,Technology,Bangalore
Log 9 Materials,Seed Round,955981,2018,Unknown,Technology,Uttar Pradesh
VTION,Seed Round,955981,2018,Unknown,Professional Services,Gurgaon
HousingMan.com,Seed Round,955981,2018,Unknown,Real Estate and Construction,Bengaluru
Steradian Semiconductors,Seed Round,955981,2018,Unknown,Industrial and Manufacturing,Bangalore
RupeeCircle,Seed Round,955981,2018,Unknown,Professional Services,Mumbai
Wooden Street,Series A,1000000,2018,Unknown,E-Commerce and Retail,Jaipur
The Ken,Series A,1500000,2018,Unknown,Media and Entertainment,Bengaluru
SaffronStays,Seed Round,2000000,2018,Unknown,Professional Services,Mumbai
Vebbler,Seed Round,955981,2018,Unknown,Technology,Bengaluru
Foyr,Series A,4200000,2018,Unknown,Real Estate and Construction,Pune
MEngage,Seed Round,175000,2018,Unknown,Healthcare and Wellness,Jaipur
Inner Being Wellness,Angel,885000,2018,Unknown,Healthcare and Wellness,Hyderabad
Kobster,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Chennai
Wishberry,Series A,5032439,2018,Unknown,Finance and FinTech,Mumbai
McXtra,Seed Round,1300000,2018,Unknown,Finance and FinTech,Andheri
Magic Crate,Seed Round,955981,2018,Unknown,Education,Bangalore
SmartVizX,Seed Round,1450000,2018,Unknown,Technology,Noida
MySEODoc,Seed Round,955981,2018,Unknown,Marketing and Advertising,Delhi
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Seed Round,955981,2018,Unknown,Marketing and Advertising,Pune
Scale Labs,Seed Round,1000000,2018,Unknown,E-Commerce and Retail,Delhi
HungerBox,Series A,4500000,2018,Unknown,E-Commerce and Retail,Bengaluru
Biryani By Kilo,Seed Round,1000000,2018,Unknown,Agriculture and Food,Noida
Wholesome Habits (EAT Anytime),Seed Round,500000,2018,Unknown,Agriculture and Food,Mumbai
GoBumpr,Seed Round,600000,2018,Unknown,Transportation and Mobility,Mylapore
Fixpocket,Seed Round,250000,2018,Unknown,Technology,Ahmedabad
edureka!,Series A,2000000,2018,Unknown,Technology,Bangalore
Hashtag Loyalty Private Limited,Seed Round,955981,2018,Unknown,Professional Services,Mumbai
Wow Express,Series A,4500000,2018,Unknown,Transportation and Mobility,Mumbai
ZunRoof,Angel,885000,2018,Unknown,Energy and Environment,Gurgaon
Eggoz,Angel,885000,2018,Unknown,Agriculture and Food,Indore
Sqrrl Fintech,Seed Round,1000000,2018,Unknown,Technology,Gurgaon
GalaxyCard,Seed Round,955981,2018,Unknown,Finance and FinTech,Noida
IndiQube,Series A,15000000,2018,Unknown,E-Commerce and Retail,Bengaluru
EGK Foods,Seed Round,955981,2018,Unknown,Agriculture and Food,Mumbai
NirogStreet,Seed Round,300000,2018,Unknown,Technology,Gurgaon
Pixr8,Seed Round,50000,2018,Unknown,Media and Entertainment,Ghaziabad
Nivesh.com,Seed Round,955981,2018,Unknown,Finance and FinTech,Noida
Theranosis Life Sciences,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Hyderabad
Poshmiles Online Solutions Private Limited,Seed Round,955981,2018,Unknown,Professional Services,Bengaluru
Reculta,Seed Round,955981,2018,Unknown,Education,Noida
Orbo.ai,Seed Round,955981,2018,Unknown,Technology,Mumbai
Inntot Technologies,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Kochi
Zoctr Health,Seed Round,955981,2018,Unknown,Technology,Powai
Hey Deedee,Seed Round,955981,2018,Unknown,Transportation and Mobility,Mumbai
DigiConnectt Technologys,Seed Round,125000,2018,Unknown,Professional Services,Bengaluru
Locus.sh,Series A,4000000,2018,Unknown,Technology,Bangalore
Sports Flashes Pvt. Ltd,Seed Round,1000000,2018,Unknown,Healthcare and Wellness,New Delhi
Inc42,Seed Round,955981,2018,Unknown,Media and Entertainment,New Delhi
Picxy,Seed Round,130000,2018,Unknown,Technology,Guntur
Huddle,Seed Round,300000,2018,Unknown,Professional Services,Haryana
Benepik,Seed Round,955981,2018,Unknown,Professional Services,Gurgaon
Cash Suvidha,Seed Round,1000000,2018,Unknown,Finance and FinTech,New Delhi
Smartcoin,Seed Round,2000000,2018,Unknown,Technology,Bangalore
Carmel Organics,Series A,5032439,2018,Unknown,Agriculture and Food,Indore
Roadcast,Angel,250000,2018,Unknown,Professional Services,New Delhi
Printline Media(ThePrint),Seed Round,955981,2018,Unknown,Media and Entertainment,New Delhi
Creditas Solutions,Seed Round,955981,2018,Unknown,Professional Services,Gurgaon
UrbanPiper,Seed Round,955981,2018,Unknown,Technology,Bengaluru
Doxper,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Mumbai
i2ifunding,Angel,885000,2018,Unknown,Finance and FinTech,Noida
ShakeDeal,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Bangalore
HelloVerify,Seed Round,955981,2018,Unknown,Technology,Noida
Fasal,Seed Round,120000,2018,Unknown,Agriculture and Food,Bengaluru
CoinGeto,Seed Round,955981,2018,Unknown,Finance and FinTech,Delhi
Avail Finance,Series A,17200000,2018,Unknown,Finance and FinTech,Bangalore
Tripeur,Seed Round,600000,2018,Unknown,Technology,Bengaluru
Wedeterna,Angel,885000,2018,Unknown,E-Commerce and Retail,Bangalore
Stumagz,Seed Round,955981,2018,Unknown,Media and Entertainment,Hyderabad
Doubtnut,Seed Round,955981,2018,Unknown,Education,Gurgaon
MCaffeine,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Mumbai
TrustCheckr,Angel,100000,2018,Unknown,Technology,Bengaluru
HealthAssure,Seed Round,1000000,2018,Unknown,Healthcare and Wellness,Mumbai
Picture TIme,Seed Round,955981,2018,Unknown,Media and Entertainment,New Delhi
1Crowd,Angel,3500000,2018,Unknown,Finance and FinTech,Mumbai
Aarav Unmanned Systems,Seed Round,955981,2018,Unknown,Transportation and Mobility,Bangalore
Wellthy Therapeutics Pvt Ltd,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Mumbai
Nua,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Mumbai
Kuvera.in,Angel,250000,2018,Unknown,Professional Services,Bangalore
Livehealth,Seed Round,1100000,2018,Unknown,Healthcare and Wellness,Pune
Gramophone,Seed Round,1000000,2018,Unknown,Agriculture and Food,Indore
Ora,Seed Round,955981,2018,Unknown,Transportation and Mobility,Kolkata
Buddy4Study.com,Series A,3000000,2018,Unknown,Healthcare and Wellness,Noida
Predible Health,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Bangalore
Syncremedies Healthcare Pvt Ltd,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Bangalore
Blueleaf Cyberspace Systems,Seed Round,955981,2018,Unknown,Technology,Bangalore
Toffee,Seed Round,1500000,2018,Unknown,Agriculture and Food,Gurgaon
ORO Wealth,Series A,1600000,2018,Unknown,Finance and FinTech,Mumbai
HealWell24,Seed Round,200000,2018,Unknown,Healthcare and Wellness,Mumbai
Acko General Insurance,Series A,12000000,2018,Unknown,Professional Services,Mumbai
arzooo.com,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Bangalore
Bonphul Air Products,Angel,885000,2018,Unknown,Energy and Environment,Delhi
DheeYantra Research Labs,Seed Round,955981,2018,Unknown,Technology,Bangalore
Edyoo,Seed Round,1000000,2018,Unknown,Education,Bengaluru
Chtrbox,Angel,885000,2018,Unknown,Marketing and Advertising,Mumbai
Aashiyaan Housing and Development Finance,Seed Round,955981,2018,Unknown,Professional Services,Kolkata
BetterPlace Safety Solutions Pvt. Ltd.,Series A,3000000,2018,Unknown,Professional Services,Bengaluru
Cashkumar,Seed Round,955981,2018,Unknown,Finance and FinTech,Bengaluru
Rocketium,Seed Round,955981,2018,Unknown,Marketing and Advertising,Bangalore
FreightBazaar,Seed Round,955981,2018,Unknown,Transportation and Mobility,Hyderabad
OPEN,Seed Round,955981,2018,Unknown,Finance and FinTech,Bangalore
mfine,Series A,4200000,2018,Unknown,Healthcare and Wellness,Bengaluru
Earth Food,Seed Round,955981,2018,Unknown,Agriculture and Food,Pune
Charcoal Eats,Seed Round,955981,2018,Unknown,Agriculture and Food,Mumbai
Wishfie,Seed Round,955981,2018,Unknown,Technology,Bangalore
The Social Hook,Seed Round,955981,2018,Unknown,Marketing and Advertising,Bengaluru
FreightBro,Seed Round,955981,2018,Unknown,Technology,Mumbai
Finwego,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Chennai
Cricnwin,Seed Round,955981,2018,Unknown,Media and Entertainment,Gurgaon
Wicked Ride Adventure Services Private Limited,Venture - Series Unknown,17932500,2018,Unknown,Transportation and Mobility,Bangalore
Career Anna,Seed Round,955981,2018,Unknown,E-Commerce and Retail,Bangalore
ERUDITUS Executive Education,Series C,79903750,2018,Unknown,Education,Mumbai
Gaia Smart Cities,Seed Round,955981,2018,Unknown,Technology,Mumbai
Square Off,Seed Round,955981,2018,Unknown,Technology,Mumbai
UrbanClap,Series D,100000000,2018,Unknown,Technology,Delhi
Hospals,Seed Round,955981,2018,Unknown,Healthcare and Wellness,New Delhi
Kogta Financial India Limited,Series B,2500000,2018,Unknown,Professional Services,Jaipur
Perspectico,Seed Round,955981,2018,Unknown,Healthcare and Wellness,New Delhi
The Souled Store,Venture - Series Unknown,17932500,2018,Unknown,Consumer Goods,Mumbai
Hush - Speak Up. Make Work Better,Seed Round,955981,2018,Unknown,Technology,Bangalore
Drivezy,Debt Financing,2500000,2018,Unknown,Transportation and Mobility,Bengaluru
Freyr Energy,Series A,5032439,2018,Unknown,Energy and Environment,Hyderabad
NIRAMAI Health Analytix,Seed Round,955981,2018,Unknown,Healthcare and Wellness,Bangalore
CloudSek,Seed Round,955981,2018,Unknown,Technology,Bengaluru
Lendbox,Seed Round,955981,2018,Unknown,Finance and FinTech,Delhi
